Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Automatically recommending components for issue reports using deep learning","Empirical Software Engineering","","26","2","10.1007/s10664-020-09898-5","Morakot ChoetkiertikulHoa Khanh DamTruyen TranTrang PhamChaiyong RagkhitwetsagulAditya Ghose","2021","http://link.springer.com/article/10.1007/s10664-020-09898-5","Article"
"An automated framework for the extraction of semantic legal metadata from legal texts","Empirical Software Engineering","","26","3","10.1007/s10664-020-09933-5","Amin SleimiNicolas SannierMehrdad SabetzadehLionel BriandMarcello CeciJohn Dann","2021","http://link.springer.com/article/10.1007/s10664-020-09933-5","Article"
"Private and Trustworthy Distributed Lending Model Using Hyperledger Besu","SN Computer Science","","2","2","10.1007/s42979-021-00500-3","Purathani PraitheeshanLei PanRobin Doss","2021","http://link.springer.com/article/10.1007/s42979-021-00500-3","Article"
"Automated patch assessment for program repair at scale","Empirical Software Engineering","","26","2","10.1007/s10664-020-09920-w","He YeMatias MartinezMartin Monperrus","2021","http://link.springer.com/article/10.1007/s10664-020-09920-w","Article"
"CPSDebug: Automatic failure explanation in CPS models","International Journal on Software Tools for Technology Transfer","","","","10.1007/s10009-020-00599-4","Ezio BartocciNiveditha ManjunathLeonardo MarianiCristinel MateisDejan Ničković","2021","http://link.springer.com/article/10.1007/s10009-020-00599-4","Article"
"MLASP: Machine learning assisted capacity planning","Empirical Software Engineering","","26","5","10.1007/s10664-021-09994-0","Arthur VituiTse-Hsun (Peter) Chen","2021","http://link.springer.com/article/10.1007/s10664-021-09994-0","Article"
"Choosing function sets with better generalisation performance for symbolic regression models","Genetic Programming and Evolvable Machines","","22","1","10.1007/s10710-020-09391-4","Miguel NicolauAlexandros Agapitos","2021","http://link.springer.com/article/10.1007/s10710-020-09391-4","Article"
"Quantitative estimation of side-channel leaks with neural networks","International Journal on Software Tools for Technology Transfer","","23","4","10.1007/s10009-021-00622-2","Saeid Tizpaz-NiariPavol ČernýSriram SankaranarayananAshutosh Trivedi","2021","http://link.springer.com/article/10.1007/s10009-021-00622-2","Article"
"Assessing practitioner beliefs about software engineering","Empirical Software Engineering","","26","4","10.1007/s10664-021-09957-5","N. C. ShrikanthWilliam NicholsFahmid Morshed FahidTim Menzies","2021","http://link.springer.com/article/10.1007/s10664-021-09957-5","Article"
"Redundancy in distributed proofs","Distributed Computing","","34","2","10.1007/s00446-020-00386-z","Laurent FeuilloleyPierre FraigniaudJuho HirvonenAmi PazMor Perry","2021","http://link.springer.com/article/10.1007/s00446-020-00386-z","Article"
"Investigating design anti-pattern and design pattern mutations and their change- and fault-proneness","Empirical Software Engineering","","26","1","10.1007/s10664-020-09900-0","Zeinab Azadeh KermansaraviMd Saidur RahmanFoutse KhomhFehmi JaafarYann-Gaël Guéhéneuc","2021","http://link.springer.com/article/10.1007/s10664-020-09900-0","Article"
"Defining business model key performance indicators using intentional linguistic summaries","Software and Systems Modeling","","20","4","10.1007/s10270-021-00894-x","Rick GilsingAnna WilbikPaul GrefenOktay TuretkenBaris OzkanOnat Ege AdaliFrank Berkers","2021","http://link.springer.com/article/10.1007/s10270-021-00894-x","Article"
"Virtualization Costs: Benchmarking Containers and Virtual Machines Against Bare-Metal","SN Computer Science","","2","5","10.1007/s42979-021-00781-8","Saverio GiallorenzoJacopo MauroMartin Gyde PoulsenFilip Siroky","2021","http://link.springer.com/article/10.1007/s42979-021-00781-8","Article"
"Security and Reliability of Safety-Critical RTOS","SN Computer Science","","2","5","10.1007/s42979-021-00753-y","Ryan LunaSheikh Ariful Islam","2021","http://link.springer.com/article/10.1007/s42979-021-00753-y","Article"
